county,enrollment,number_of_schools,free_meal_count,perc_eligible_free,frmp_count,perc_eligible_frpm,lcff,no_title1,perc_title1,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,irr,population,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na,number
SAN BENITO,11546,29,5773,0.5,6493,0.5623592586,4975648,1,0.03448275862,42790.131,23697.01456,2,1,0,100,0,31.28856605,61.74801362,86958,0.504367412,368878,122959.333,324096,108032,0.87859943,5758,1919.33333,0.0156095,11246,3748.66667,0.03048704,13428,4476,0.03640228,1560,520,0.00422904,35
SAN BERNARDINO,406970,582,257668,0.6331375777,291418,0.7160675234,355644800,44,0.07560137457,2543557.414,1906234.522,229,7,3.037484216,100,0.4254742547,36.47243713,70.75293227,63362,0.398318883,12995566,4331855.33,9973750,3324583.33,0.76747331,1222108,407369.333,0.09404038,267696,89232,0.02059903,1011876,337292,0.07786317,61510,20503.3333,0.00473315,36
SAN DIEGO,502471,791,207826,0.4136079495,251689,0.5009025396,773446194,119,0.1504424779,4316482.438,1117069.969,648,5,0,100,0.06060606061,17.11395319,30.64699205,78980,0.313741722,19986856,6662285.33,15111224,5037074.67,0.75605808,1106368,368789.333,0.05535478,262926,87642,0.01315495,2487900,829300,0.12447681,116882,38960.6667,0.00584794,37
SAN FRANCISCO,61729,130,25368,0.4109575726,29787,0.4825446711,77682534,15,0.1153846154,40527.441,79443.0833,19,3,0,100,0.06153846154,14.76133906,24.53651154,112449,0.079645896,5280570,1760190,2802952,934317.333,0.53080482,294058,98019.3333,0.05568679,38910,12970,0.00736852,1886092,628697.333,0.35717584,24046,8015.33333,0.00455368,38
SAN JOAQUIN,152358,245,83446,0.5476968718,94388,0.6195145644,217082828,27,0.1102040816,32780,8766.193715,4,1,0,100,0.5107913669,39.46248107,75.19233195,64432,0.376179201,4515870,1505290,3006522,1002174,0.66576806,373526,124508.667,0.08271407,88904,29634.6667,0.01968701,766968,255656,0.16983837,36126,12042,0.00799979,39
SAN LUIS OBISPO,34391,86,13132,0.3818440871,15060,0.4379052659,6637469,2,0.02325581395,0,0,0,0,0,0,0,11.8406507,17.21528566,73518,0.445806595,1697892,565964,1509222,503074,0.88887986,34656,11552,0.02041119,23770,7923.33333,0.01399971,66942,22314,0.03942654,3128,1042.66667,0.00184228,40
SAN MATEO,93408,190,26485,0.2835410243,30627,0.3278841213,73213240,13,0.06842105263,191159.42,65157.52263,16,3,0,100,0.03821656051,13.73634977,21.78711061,122641,0.291916724,4608310,1536103.33,2771070,923690,0.60132022,127358,42452.6667,0.0276366,39352,13117.3333,0.00853936,1381982,460660.667,0.29988911,70348,23449.3333,0.01526547,41
SANTA BARBARA,69006,126,37361,0.5414166884,42828,0.6206416833,41392176,13,0.1031746032,19267.85838,16313.16141,10,4,0,100,0,14.62232636,24.15184765,74624,0.418740179,2675154,891718,2288238,762746,0.85536683,64816,21605.3333,0.02422889,57110,19036.6667,0.0213483,159456,53152,0.05960629,6742,2247.33333,0.00252023,42
SANTA CLARA,263219,438,76461,0.2904843495,91932,0.3492605017,299584102,45,0.102739726,148914.5028,115106.2649,52,5,0,100,0.05107526882,16.75659056,29.73893303,124055,0.297966473,11585398,3861799.33,6153644,2051214.67,0.53115517,327716,109238.667,0.02828699,137844,45948,0.01189808,4433768,1477922.67,0.38270312,53402,17800.6667,0.00460942,43
SANTA CRUZ,40545,86,19804,0.4884449377,21537,0.5311875694,62412355,5,0.05813953488,26505.76203,15932.22591,11,1,100,100,0.03846153846,11.75383783,16.93782318,82234,0.372903537,1643820,547940,1433644,477881.333,0.87214172,23456,7818.66667,0.0142692,30274,10091.3333,0.01841686,84908,28302.6667,0.05165286,3298,1099.33333,0.0020063,44
SHASTA,27097,102,13306,0.4910506698,14898,0.5498025612,41910191,13,0.1274509804,0,0,0,0,0,0,0,14.01309393,22.47446084,54667,0.466950482,1078346,359448.667,947066,315688.667,0.878258,12862,4287.33333,0.01192753,34338,11446,0.03184321,33568,11189.3333,0.03112916,2336,778.666667,0.00216628,45
